"","600639.SS.Open","600639.SS.High","600639.SS.Low","600639.SS.Close","600639.SS.Volume","600639.SS.Adjusted"
"2007-08-16",17.5546,17.718201,17.1364,17.427299,4509051,15.083788
"2007-08-17",17.4545,17.8818,17.3636,17.4818,3061133,15.13096
"2007-08-20",17.727301,18.263599,17.727301,18.200001,4635800,15.752582
"2007-08-21",18.254601,18.563601,18.0546,18.4182,5401063,15.941438
"2007-08-22",18.1455,18.709101,18,18.4454,4897358,15.964983
"2007-08-23",18.4454,18.799999,18.0909,18.281799,5475716,15.82338
"2007-08-24",18.3545,18.790899,18.1,18.690901,9076988,16.177469
"2007-08-27",18.818199,19.5455,18.4636,18.8636,9677614,16.326942
"2007-08-28",18.8636,18.8636,18.163601,18.209101,6179686,15.760455
"2007-08-29",18.281799,19.4182,18.072701,18.827299,14160618,16.295523
"2007-08-30",19.0364,20,18.836399,19.5455,18956377,16.917149
"2007-08-31",19.6182,20.0455,19.0909,19.272699,12856027,16.681028
"2007-09-03",19.3818,20.181801,19.3818,19.5455,9785525,16.917149
"2007-09-04",19.6364,19.9636,19.272699,19.681801,10490065,17.03512
"2007-09-05",19.763599,19.818199,18.8727,19.1364,8483406,16.563057
"2007-09-06",19.163601,19.3545,18.781799,19.218201,10050386,16.63386
"2007-09-07",19.318199,19.781799,18.827299,18.8909,12959810,16.350573
"2007-09-10",18.8909,20.172701,18.709101,20.0909,13635676,17.389204
"2007-09-11",20.163601,20.254601,18.181801,18.263599,10301313,15.80763
"2007-09-12",18.3818,18.727301,17.5455,18.5,6934155,16.012239
"2007-09-13",18.5,18.727301,18.254601,18.5455,5581349,16.051619
"2007-09-14",18.5455,18.727301,18.0182,18.4091,5717838,15.933562
"2007-09-17",18.318199,18.572701,18.072701,18.4636,9193779,15.980734
"2007-09-18",18.436399,18.9545,17.9636,18.936399,9663073,16.389954
"2007-09-19",19.254601,20.272699,19.227301,19.5273,19499165,16.901396
"2007-09-20",19.6364,19.8818,19.181801,19.6546,7858183,17.011574
"2007-09-21",19.5455,19.727301,19.0909,19.5818,5947151,16.948568
"2007-09-24",19.6364,21.3454,19.6364,21.072701,19495274,18.238979
