ave_temp
-0.7
2.1
7.7
14.7
19.8
24.3
25.9
25.4
19
14.5
7.7
-0.4
-2.2
-0.4
6.2
14.3
21.6
25.4
25.5
23.9
20.7
12.8
4.2
0.9
-3.8
1.3
8.7
14.5
20
24.6
28.2
26.6
18.6
14
5.4
-1.5
-3.8
1.3
8.7
14.5
20
24.6
28.2
26.6
18.6
14
5.4
-1.5
-3.8
1.3
8.7
14.5
20
24.6
28.2
26.6
18.6
14
5.4
-1.5
-3.9
2.4
7.6
15
19.9
23.6
26.5
25.1
22.2
14.8
4
0.1
-1.6
2.2
4.8
14.4
19.5
25.4
28.1
25.6
20.9
13
5.9
-0.6
-6.4
-1.5
8.1
14.6
20.4
26.7
29.6
25.7
21.8
12.6
3
-0.6
